"Países (não mexer)";"Código da timezone (não mexer";"Coloque aqui o nome que você quer que apareça separado por vírgula";"UTC (não mexer)"
"CI, BF, GH, GM, GN, IS, ML, MR, SH, SL, SN, TG";"Africa/Abidjan";"Abidjan";"+00:00"
"BR";"America/Sao_Paulo";"Horário oficial de Brasília";"−03:00"
"BR";"America/Sao_Paulo";"Acre";"−03:00"
"BR";"America/Rio_Branco";"Acre (Porto Acre)";"−05:00"
"AU";"Australia/ACT";"ACT";"+10:00"
"US";"America/Adak";"Adak";"−10:00"
"AU";"Australia/Adelaide";"Adelaide";"+09:30"
"BR";"America/Sao_Paulo";"Alagoas";"−03:00"
"US";"US/Alaska";"Alaska";"−09:00"
"US";"US/Aleutian";"Aleutian";"−10:00"
"DZ";"Africa/Algiers";"Algiers";"+01:00"
"KZ";"Asia/Almaty";"Almaty";"+06:00"
"BR";"America/Sao_Paulo";"Amapá";"−03:00"
"BR";"America/Sao_Paulo";"Amazonas";"−03:00"
"BR";"America/Eirunepe";"Amazonas (Eirunepe)";"−05:00"
"BR";"America/Manaus";"Amazonas (Manaus)";"−04:00"
"BR";"America/Rio_Branco";"Amazonas (Tabatinga)";"−05:01"
"JO";"Asia/Amman";"Amman";"+03:00"
"RU";"Asia/Anadyr";"Anadyr";"+12:00"
"US";"America/Anchorage";"Anchorage";"−09:00"
"AD";"Europe/Andorra";"Andorra";"+01:00"
"WS";"Pacific/Apia";"Apia";"+13:00"
"KZ";"Asia/Aqtau";"Aqtau";"+05:00"
"KZ";"Asia/Aqtobe";"Aqtobe";"+05:00"
"US";"US/Arizona";"Arizona";"−07:00"
"TM";"Asia/Ashgabat";"Ashgabat";"+05:00"
"TM";"Asia/Ashkhabad";"Ashkhabad";"+05:00"
"ER";"Africa/Asmera";"Asmera";"+03:00"
"RU";"Europe/Astrakhan";"Astrakhan";"+04:00"
"PY";"America/Asuncion";"Asuncion";"−04:00"
"GR";"Europe/Athens";"Athens";"+02:00"
"US";"America/Atka";"Atka";"−10:00"
"CA";"Canada/Atlantic";"Atlantic";"−04:00"
"KZ";"Asia/Atyrau";"Atyrau";"+05:00"
"NZ, AQ";"Pacific/Auckland";"Auckland";"+12:00"
"PT";"Atlantic/Azores";"Azores";"−01:00"
"IQ";"Asia/Baghdad";"Baghdad";"+03:00"
"BR";"America/Sao_Paulo";"Bahia";"−03:00"
"MX";"America/Bahia_Banderas";"Bahia_Banderas";"−06:00"
"MX";"Mexico/BajaNorte";"BajaNorte";"−08:00"
"MX";"Mexico/BajaSur";"BajaSur";"−07:00"
"AZ";"Asia/Baku";"Baku";"+04:00"
"TH, CX, KH, LA, VN";"Asia/Bangkok";"Bangkok";"+07:00"
"BB";"America/Barbados";"Barbados";"−04:00"
"RU";"Asia/Barnaul";"Barnaul";"+07:00"
"LB";"Asia/Beirut";"Beirut";"+02:00"
"RS, BA, HR, ME, MK, SI";"Europe/Belgrade";"Belgrade";"+01:00"
"BZ";"America/Belize";"Belize";"−06:00"
"DE, DK, NO, SE, SJ";"Europe/Berlin";"Berlin";"+01:00"
"BM";"Atlantic/Bermuda";"Bermuda";"−04:00"
"US";"America/North_Dakota/Beulah";"Beulah";"−06:00"
"KG";"Asia/Bishkek";"Bishkek";"+06:00"
"GW";"Africa/Bissau";"Bissau";"+00:00"
"CO";"America/Bogota";"Bogota";"−05:00"
"US";"America/Boise";"Boise";"−07:00"
"PG";"Pacific/Bougainville";"Bougainville";"+11:00"
"SK";"Europe/Bratislava";"Bratislava";"+01:00"
"AU";"Australia/Brisbane";"Brisbane";"+10:00"
"AU";"Australia/Broken_Hill";"Broken_Hill";"+09:30"
"BE, LU, NL";"Europe/Brussels";"Brussels";"+01:00"
"RO";"Europe/Bucharest";"Bucharest";"+02:00"
"HU";"Europe/Budapest";"Budapest";"+01:00"
"AR";"America/Argentina/Buenos_Aires";"Buenos_Aires";"−03:00"
"AR";"America/Buenos_Aires";"Buenos_Aires";"−03:00"
"DE";"Europe/Busingen";"Busingen";"+01:00"
"EG";"Africa/Cairo";"Cairo";"+02:00"
"IN";"Asia/Calcutta";"Calcutta";"+05:30"
"CA";"America/Cambridge_Bay";"Cambridge_Bay";"−07:00"
"ES";"Atlantic/Canary";"Canary";"+00:00"
"AU";"Australia/Canberra";"Canberra";"+10:00"
"MX";"America/Cancun";"Cancun";"−05:00"
"CV";"Atlantic/Cape_Verde";"Cape_Verde";"−01:00"
"VE";"America/Caracas";"Caracas";"−04:00"
"MA";"Africa/Casablanca";"Casablanca";"+01:00"
"AQ";"Antarctica/Casey";"Casey";"+11:00"
"AR";"America/Argentina/Catamarca";"Catamarca";"−03:00"
"AR";"America/Catamarca";"Catamarca";"−03:00"
"GF";"America/Cayenne";"Cayenne";"−03:00"
"BR";"America/Sao_Paulo";"Ceará";"−03:00"
"US";"America/North_Dakota/Center";"Center";"−06:00"
"CA";"Canada/Central";"Central";"−06:00"
"US";"US/Central";"Central";"−06:00"
"ES";"Africa/Ceuta";"Ceuta";"+01:00"
"IO";"Indian/Chagos";"Chagos";"+06:00"
"NZ";"Pacific/Chatham";"Chatham";"+12:45"
"US";"America/Chicago";"Chicago";"−06:00"
"MX";"America/Chihuahua";"Chihuahua";"−06:00"
"MD";"Europe/Chisinau";"Chisinau";"+02:00"
"RU";"Asia/Chita";"Chita";"+09:00"
"MN";"Asia/Choibalsan";"Choibalsan";"+08:00"
"CN";"Asia/Chungking";"Chungking";"+08:00"
"MX";"America/Ciudad_Juarez";"Ciudad_Juarez";"−07:00"
"LK";"Asia/Colombo";"Colombo";"+05:30"
"CL";"Chile/Continental";"Continental";"−04:00"
"AR";"America/Argentina/Cordoba";"Cordoba";"−03:00"
"AR";"America/Cordoba";"Cordoba";"−03:00"
"CR";"America/Costa_Rica";"Costa_Rica";"−06:00"
"CU";"Cuba";"Cuba";"−05:00"
"BD";"Asia/Dacca";"Dacca";"+06:00"
"SY";"Asia/Damascus";"Damascus";"+03:00"
"GL";"America/Danmarkshavn";"Danmarkshavn";"+00:00"
"AU";"Australia/Darwin";"Darwin";"+09:30"
"AQ";"Antarctica/Davis";"Davis";"+07:00"
"CA";"America/Dawson";"Dawson";"−07:00"
"CA";"America/Dawson_Creek";"Dawson_Creek";"−07:00"
"US";"America/Denver";"Denver";"−07:00"
"US";"America/Detroit";"Detroit";"−05:00"
"BD";"Asia/Dhaka";"Dhaka";"+06:00"
"TL";"Asia/Dili";"Dili";"+09:00"
